Url,Address,Status,Bed,Bath,Price,Year built,Days on zillow,Lot size(sqft),House size(sqft),Parking type,Parking space,Price/sqft,Sold date,HOA,City,Heating_bool,Cooling_bool
https://www.zillow.com/homedetails/843-Peary-Ln-Foster-City-CA-94404/15615226_zpid/,"843 Peary Ln, Foster City, CA 94404",Sale,3,3,1388000,1973,21,1964,1340,Garage,1,1035.82,1/1/90,405,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/116-Flying-Cloud-Isle-Foster-City-CA-94404/15610449_zpid/,"116 Flying Cloud Isle, Foster City, CA 94404",Sale,3,2,1800000,1964,18,7352,1880,Garage,1,957.45,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/217-Puffin-Ct-Foster-City-CA-94404/15611578_zpid/,"217 Puffin Ct, Foster City, CA 94404",Sale,5,3,2049888,1965,19,7056,2540,Space,2,807.04,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/20-Port-Royal-Ave-Foster-City-CA-94404/15616491_zpid/,"20 Port Royal Ave, Foster City, CA 94404",Sale,4,4,2200000,1985,26,6000,2190,Space,2,1004.57,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/336-Dolphin-Isle-Foster-City-CA-94404/15612593_zpid/,"336 Dolphin Isle, Foster City, CA 94404",Sale,4,3,2180000,1973,54,7056,2380,Space,2,915.97,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/920-Aruba-Ln-Foster-City-CA-94404/15616068_zpid/,"920 Aruba Ln, Foster City, CA 94404",Sale,4,2.5,2165611,1978,175,6098,2530,Garage,1,855.97,1/1/90,403,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/682-Teal-St-Foster-City-CA-94404/15611504_zpid/,"682 Teal St, Foster City, CA 94404",Sale,3,2,1649888,1965,26,5702,1700,Space,1,970.52,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/853-Arcturus-Cir-Foster-City-CA-94404/15613852_zpid/,"853 Arcturus Cir, Foster City, CA 94404",Sale,4,3,2500000,1973,40,5222,2675,Garage,1,934.58,1/1/90,0,SanMateo,TRUE,TRUE
https://www.zillow.com/homedetails/390-Biscayne-Ave-San-Mateo-CA-94404/15616556_zpid/,"390 Biscayne Ave, San Mateo, CA 94404",Sale,3,3,2385000,1985,44,5248,2390,Garage,1,997.91,1/1/90,123,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/105-Flying-Mist-Isle-Foster-City-CA-94404/15611065_zpid/,"105 Flying Mist Isle, Foster City, CA 94404",Sale,3,2,2580000,1965,1,14375,2255,Space,2,1144.12,1/1/90,0,SanMateo,TRUE,FALSE
